,ID,Low_Benefit_High_Cost,High_Benefit_High_Cost,Low_Benefit_Low_Cost,High_Benefit_Low_Cost,Low-High_Cost,High-Low_Benefit
0,Z6PMZ8UK,0.2307692307692307,1.6153846153846154,0.1428571428571428,3.8,1.0483516483516482,2.520879120879121
1,GTDAS4GM,-2.636363636363636,3.0,2.333333333333333,3.3,2.6348484848484848,3.3015151515151517
2,AUXKJ27B,-3.4615384615384617,-0.3846153846153846,-2.076923076923077,1.7272727272727273,1.748251748251748,3.4405594405594404
3,QH026G52,-1.75,2.7142857142857144,1.7272727272727273,4.777777777777778,2.7703823953823954,3.7573953823953823
4,PI8SFZN8,-0.6666666666666666,0.3333333333333333,0.8,3.421052631578948,2.2771929824561408,1.810526315789473
5,K5PTHLL6,0.6,1.7142857142857142,1.0,1.6666666666666667,0.1761904761904763,0.8904761904761904
6,Q8XDAOE3,-1.7272727272727273,0.5384615384615384,-0.5714285714285714,0.5,0.5586913086913088,1.6685814185814185
7,UB6T17K1,-0.1666666666666666,0.2,0.3846153846153846,1.8,1.0756410256410256,0.8910256410256411
8,KYJZ17O9,-0.1428571428571428,1.9333333333333331,2.6666666666666665,3.4444444444444446,2.16031746031746,1.4269841269841272
9,HV05PDE5,1.2,1.7692307692307692,1.1666666666666667,2.8666666666666667,0.5320512820512819,1.1346153846153846
10,SSRJVJOA,-1.5454545454545454,0.7333333333333333,0.8461538461538461,2.272727272727273,1.9655011655011656,1.8526806526806527
11,GL8A5W2X,-1.0,2.090909090909091,1.5714285714285714,2.230769230769231,1.3556443556443556,1.8751248751248752
12,FANFDTGF,0.5714285714285714,3.533333333333333,2.0,4.142857142857143,1.0190476190476194,2.5523809523809526
13,Z5Z01L14,-0.4666666666666667,1.7272727272727273,1.6,2.4285714285714284,1.383982683982684,1.5112554112554113
14,STEVQFM7,-0.7142857142857143,2.5,1.4285714285714286,4.0,1.821428571428572,2.892857142857143
15,FLCJYUOE,0.0666666666666666,1.181818181818182,1.8888888888888888,0.8666666666666667,0.7535353535353534,0.0464646464646465
16,LOUARDY5,-4.833333333333333,-0.8181818181818182,-2.25,-0.6363636363636364,1.3825757575757576,2.8143939393939394
17,HBWS3WRO,-0.2857142857142857,3.6,1.3333333333333333,4.571428571428571,1.2952380952380949,3.5619047619047617
18,ZJD9JZUZ,-4.2727272727272725,1.0,-1.7142857142857142,0.5714285714285714,1.0649350649350648,3.779220779220779
19,B6FTZK8C,-2.833333333333333,0.4,-2.4545454545454546,0.4117647058823529,0.1952762923351158,3.0498217468805704
20,OUPK9NEB,1.8888888888888888,1.2666666666666666,2.0,3.0,0.9222222222222224,0.1888888888888888
21,K73KC1UA,0.5714285714285714,1.6666666666666667,1.181818181818182,2.0,0.4718614718614718,0.9567099567099568
22,8XBY00ER,1.2666666666666666,2.8,3.2857142857142856,3.1818181818181817,1.2004329004329004,0.7147186147186146
23,GD9WWI5X,-1.0,1.6153846153846154,-0.0909090909090909,3.571428571428572,1.432567432567433,3.138861138861139
24,0VHV7J5M,0.4545454545454545,1.0,1.0,1.6666666666666667,0.6060606060606062,0.6060606060606061
25,EAD9PTSG,-0.8461538461538461,2.1666666666666665,1.2,2.6,1.2397435897435896,2.206410256410257
26,4JX9UQRW,-0.8181818181818182,1.1428571428571428,2.0,3.769230769230769,2.722277722277722,1.8651348651348647
